Race ID,Race Location,Race Date,Horse Name,Horse Past Wins,Jockey Name,Jockey Past Wins,Bookmaker Odds,Weather Conditions,Race Distance,Horse Weight,Is Favorite?,Final Result
001,Ascot,2025-04-15,Lightning Bolt,10,John Doe,25,4.5,Sunny,1600,500kg,Yes,Won
002,Newmarket,2025-04-16,Storm Rider,5,Jane Smith,18,6.0,Rain,2000,480kg,No,Lost
003,Cheltenham,2025-04-17,Midnight Racer,8,Jack Brown,20,5.5,Cloudy,1800,490kg,Yes,Won
004,Epsom,2025-04-18,Thunder Hooves,12,Emily White,30,4.2,Foggy,1500,510kg,Yes,Won
005,Aintree,2025-04-19,Golden Blaze,7,Liam Green,22,6.8,Sunny,2200,495kg,No,Lost
006,Ascot,2025-04-20,Shadow Stride,9,Olivia Black,27,5.0,Rain,1750,505kg,Yes,Won
007,Newmarket,2025-04-21,Blazing Star,6,Ethan Cooper,19,6.5,Cloudy,1900,485kg,No,Lost
008,Cheltenham,2025-04-22,Fast Fury,11,Nora Grey,28,4.8,Sunny,1650,500kg,Yes,Won
009,Epsom,2025-04-23,Dark Whisper,4,Mason Reed,16,7.2,Rain,2100,475kg,No,Lost
010,Aintree,2025-04-24,Silver Storm,13,Chloe Knight,32,4.0,Foggy,1800,510kg,Yes,Won
